Symbol	Description
AVM	Anvil Mining Ltd (Canada CUFS)
AVMO	AVMO
AVR	Avatar Industries Ltd
AVW	Avira Energy Limited
AVWOA	Avira Resources Ltd
AW1	American West Metals Limited
AW1O	American West Metals Limited
AWC	Alumina Ltd
AWCKOA	Alumina Limited
AWCKOB	Alumina Limited
AWCKOC	Alumina Limited
AWCKOD	Alumina Limited
AWCKOP	Alumina Limited
AWCKOR	Alumina Limited
AWCKOT	Alumina Limited
AWCKOU	Alumina Limited
AWCKOX	Alumina Limited
AWJ	Auric Mining Limited
AX1	Accent Group Limited
AX8	Accelerate Resources Limited
AXE	Archer Exploration Ltd
AXI	Axiom Properties Ltd
AXL	Aucxis
AXN	Axon Instruments Inc
AXP	Airxpanders Inc
AYA	Attila Resources Limited
AYI	A1 Investments & Resources Ltd
AYM	Altius Mining Limited
AYT	Adelaide Managed Funds Asset Trust
AYUHC	Australian Unity Limited
AYUHD	Australian Unity Limited
AYUHE	AYUHE
AYUPA	AYUPA
AZ9	Asian Battery Metals Plc
AZ9O	AZ9O
AZI	Alta Zinc Limited
AZJ	Aurizon Holdings Limited
AZJKOA	Aurizon Holdings Limited
AZJKOB	Aurizon Holdings Limited
AZJKOC	Aurizon Holdings Limited
AZJKOD	Aurizon Holdings Limited
AZJKOQ	Aurizon Holdings Limited
AZJKOS	Aurizon Holdings Limited
AZJKOT	Aurizon Holdings Limited
AZL	Anzoil Nl
AZLO	AZLO
AZLOA	Arizona Lithium Limited
AZY	Antipa Minerals Limited
B4P	Beforepay Group Limited
BANK	BANK
BAOR	BAOR
BAP	Burson Group Limited
BAPKOA	Bapcor Limited
BAPKOB	Bapcor Limited
BAPKOR	Bapcor Limited
BAS	Bass Strait Oil Company Ltd
BASO	Bass Strait Oil Company Limited
BB1	Blinklab Limited
BBAB	BBAB
BBC	Babcock & Brown Communities Group
BBL	Brisbane Broncos Ltd
BBN	Baby Bunting Group Limited
BBOZ	Betashares Australian Equities Strong Bear Hedge F
BBT	Bluebet Holdings Ltd
BC8	Black Cat Syndicate Limited
BC8O	BC8O
BCA	Baycorp Advantage Ltd
BCB	Bowen Coking Coal Limited
BCC	Buccaneer Energy Ltd
BCI	BC Iron Ltd
BCK	Brockman Mining Limited
BCM	Babcock & Brown Capital Ltd
BCMO	BCMO
BCMOA	BCMOA
BCN	Beacon Minerals Ltd
BCOM	BCOM
BCT	Bluechiip Limited
BDG	Bendigo Mining Ltd
BDM	Biodiem Ltd
BDT	Birddog Technology Limited
BDX	Bcal Diagnostics Limited
BEAR	Betashares Australian Equities Bear Hedge Fund
BEL	Bentley International Ltd
BEN	Bendigo Bank Ltd
BENKOB	Bendigo And Adelaide Bank Limited
BENKOC	Bendigo And Adelaide Bank Limited
BENKOD	Bendigo And Adelaide Bank Limited
BENKOP	Bendigo And Adelaide Bank Limited
BENKOQ	Bendigo And Adelaide Bank Limited
BENKOT	Bendigo And Adelaide Bank Limited
BENPH	BENPH
BENPI	BENPI
BEO	Beonic Ltd
BET	Belmont Holdings Ltd
BEZ	Besra Gold Inc
BFC	Beston Global Food Company Limited
BFG	Bell Financial Group Ltd
BFL	Bsp Financial Group Limited
BGA	Bega Cheese Limited
BGBL	BGBL
BGD	Boulder Steel Ltd
BGE	Bridge Saas Limited
BGL	Bigair Group Ltd
BGLKOB	BGLKOB
BGLKOC	BGLKOC
BGLKOD	BGLKOD
BGLKOR	BGLKOR
BGP	Briscoe Group Australasia Limited
BGT	Bio-gene Technology Ltd
BHD	Benjamin Hornigold Limited
BHP	BHP Billiton Ltd
BHPKOA	Bhp Billiton Limited
BHPKOB	Bhp Billiton Limited
BHPKOC	Bhp Billiton Limited
BHPKOD	Bhp Billiton Limited
BHPKOE	Bhp Billiton Limited
BHPKOF	Bhp Billiton Limited
BHPKOG	Bhp Billiton Limited
BHPKOH	Bhp Billiton Limited
BHPKOI	Bhp Billiton Limited
BHPKOK	Bhp Billiton Limited
BHPKOO	Bhp Billiton Limited
BHPKOP	Bhp Billiton Limited
BHPKOQ	Bhp Billiton Limited
BHPKOR	Bhp Billiton Limited
BHPKOW	Bhp Billiton Limited
BHPKOY	Bhp Billiton Limited
BHPMOP	Bhp Billiton Limited
BHPMOR	Bhp Billiton Limited
BHYB	BHYB
BILL	Ishares Core Cash
BIM	Bindi Metals Limited
BIO	Biome Australia Limited
BIS	
BIT	Biotron Ltd
BITOC	BITOC
BKG	Buka Gold Ltd
BKI	Brickworks Investment Company Ltd
BKT	Black Rock Mining Limited
BKW	Brickworks Ltd
BKWKOB	Brickworks Limited
BKWKOD	BKWKOD
BKY	Berkeley Resources Ltd
BLG	Blugass Ltd
BLGO	Bluglass Limited
BLU	Bluefreeway Ltd
BLX	Beacon Lighting Group Limited
BLZ	Blaze International Ltd
BM8	Battery Age Minerals Ltd
BMG	Brazilian Metals Group Limited.
BMH	Baumart Holdings Limited
BML	Bank of Melbourne merger WBC
BMM	Bellamel Mining Ltd
BMN	Bannerman Resources Ltd
BMO	BMA Gold Ltd
BMOOA	BMOOA
BMR	Balmoral Corporation
BMT	Berkut Minerals Limited
BNL	Balkans Gold Ltd
BNR	Bulletin Resources Limited
BNRO	BNRO
BNZ	Benz Mining Corp.
BOA	Boadicea Resources Limited
BOAO	Boadicea Resources Limited
BOC	Bougainville Copper Ltd (PNG)
BOD	bioMD Ltd
BOE	Boss Energy Ltd
BOEKOA	BOEKOA
BOEKOC	BOEKOC
BOL	Boom Logistics Ltd
BOQ	Bank of Queensland Ltd
BOQKOA	Bank Of Queensland Limited.
BOQKOD	Bank Of Queensland Limited.
BOQKOE	Bank Of Queensland Limited.
BOQKOF	Bank Of Queensland Limited.
BOQKOR	Bank Of Queensland Limited.
BOQKOS	Bank Of Queensland Limited.
BOQPE	Bank Of Queensland Limited.
BOQPF	BOQPF
BOQPG	BOQPG
BOT	Botanix Pharmaceuticals Ltd
BP8	Bph Global Ltd
BPH	BioPharmica Ltd
BPHOB	BPHOB
BPM	Bpm Minerals Limited
BPMO	BPMO
BPP	Babylon Pump & Power Limited
BPT	Beach Petroleum Ltd
BPTKOA	Beach Energy Limited
BPTKOB	Beach Energy Limited
BPTKOD	Beach Energy Limited
BPTKOP	Beach Energy Limited
BPTKOR	Beach Energy Limited
BRE	Breathe Group
BRG	Breville Group Ltd
BRGKOA	Breville Group Limited
BRGKOB	Breville Group Limited
BRI	Breakwater Island Trust
BRK	BreakFree Ltd
BRL	Brl Hardy
BRN	Brainchip Holdings Ltd
BRU	Buru Energy Ltd
BRX	Belararox Limited
BRXOA	BRXOA
BSA	Broadcast Services Australia Ltd
BSAO	Bsa Limited
BSE	BSE
BSL	BlueScope Steel Ltd
BSLKOC	Bluescope Steel Limited
BSLKOE	Bluescope Steel Limited
