Symbol	Description
DTFX	CME FX Index
DTOF	Dow Tran Stocks Above 150-Day Average
DTOH	Dow Tran Stocks Above 100-Day Average
DTTH	Dow Tran Stocks Above 200-Day Average
DTTW	Dow Tran Stocks Above 20-Day Average
DTWC	DJ COMPAVGTR
DTWI	DJ INDUS AVG TR
DTWT	DJ TRANSAVGTR
DTWU	DJ UTILITYAVGTR
DUBS	DJ UBS COMMODITY INDEX
DUFD	Dow Util Stocks Above 5-Day Average
DUFI	Dow Util Stocks Above 50-Day Average
DUOF	Dow Util Stocks Above 150-Day Average
DUOH	Dow Util Stocks Above 100-Day Average
DUSL	DJ US LRGCAP
DUSM	DJ US MIDCAP
DUSS	DJ US SMLCAP
DUTH	Dow Util Stocks Above 200-Day Average
DUTW	Dow Util Stocks Above 20-Day Average
DVCA	AMEX Declining Volume
DVCC	CSE Declining Volume
DVCE	ETFS Declining Volume
DVCN	NYSE Declining Volume
DVCQ	NASD Declining Volume
DVCS	TSX Declining Volume
DVCT	Total Declining Volume
DVCU	OTC US Declining Volume
DVCV	TSXV Declining Volume
DVCX	CAD Total Declining Volume
DWCB	DJ US BANKS TOTAL INDEX
ESFD	S&P ESG Stocks Above 5-Day Average
ESFI	S&P ESG Stocks Above 50-Day Average
ESOF	S&P ESG Stocks Above 150-Day Average
ESOH	S&P ESG Stocks Above 100-Day Average
ESTH	S&P ESG Stocks Above 200-Day Average
ESTW	S&P ESG Stocks Above 20-Day Average
F1DA	1-Month Mcap Hi-Lo AMEX
F1DB	1-Month Mcap Hi-Lo S&P 500 Materials
F1DC	1-Month Mcap Hi-Lo Russell 2000
F1DF	1-Month Mcap Hi-Lo S&P 500 Financials
F1DG	1-Month Mcap Hi-Lo Russell 1000
F1DH	1-Month Mcap Hi-Lo Price GT $10
F1DI	1-Month Mcap Hi-Lo S&P 500 Industrials
F1DJ	1-Month Mcap Hi-Lo S&P 500 Utilities
F1DK	1-Month Mcap Hi-Lo S&P 500 Info Tech
F1DL	1-Month Mcap Hi-Lo Price Lt $10
F1DM	1-Month Mcap Hi-Lo S&P 500 Consumer Staples
F1DN	1-Month Mcap Hi-Lo NYSE
F1DO	1-Month Mcap Hi-Lo S&P 100
F1DP	1-Month Mcap Hi-Lo S&P 500
F1DQ	1-Month Mcap Hi-Lo Nasdaq
F1DR	1-Month Mcap Hi-Lo S&P 500 Real Estate
F1DS	1-Month Mcap Hi-Lo S&P 500 Health Care
F1DT	1-Month Mcap Hi-Lo S&P 500 Energies
F1DU	1-Month Mcap Hi-Lo Volume Lt 100K
F1DV	1-Month Mcap Hi-Lo Volume GT 100K
F1DW	1-Month Mcap Hi-Lo S&P 500 Telecom Srvs
F1DX	1-Month Mcap Hi-Lo Overall
F1DY	1-Month Mcap Hi-Lo S&P 500 Consumer Disc
F1DZ	1-Month Mcap Hi-Lo Russell 3000
F1HA	1-Month Mcap Highs AMEX
F1HB	1-Month Mcap Highs S&P 500 Materials
F1HC	1-Month Mcap Highs Russell 2000
F1HF	1-Month Mcap Highs S&P 500 Financials
F1HG	1-Month Mcap Highs Russell 1000
F1HH	1-Month Mcap Highs Price GT $10
F1HI	1-Month Mcap Highs S&P 500 Industrials
F1HJ	1-Month Mcap Highs S&P 500 Utilities
F1HK	1-Month Mcap Highs S&P 500 Info Tech
F1HL	1-Month Mcap Highs Price Lt $10
F1HM	1-Month Mcap Highs S&P 500 Consumer Staples
F1HN	1-Month Mcap Highs NYSE
F1HO	1-Month Mcap Highs S&P 100
F1HP	1-Month Mcap Highs S&P 500
F1HQ	1-Month Mcap Highs Nasdaq
F1HR	1-Month Mcap Highs S&P 500 Real Estate
F1HS	1-Month Mcap Highs S&P 500 Health Care
F1HT	1-Month Mcap Highs S&P 500 Energies
F1HU	1-Month Mcap Highs Volume Lt 100K
F1HV	1-Month Mcap Highs Volume GT 100K
F1HW	1-Month Mcap Highs S&P 500 Telecom Srvs
F1HX	1-Month Mcap Highs Overall
F1HY	1-Month Mcap Highs S&P 500 Consumer Disc
F1HZ	1-Month Mcap Highs Russell 3000
F1LA	1-Month Mcap Lows AMEX
F1LB	1-Month Mcap Lows S&P 500 Materials
F1LC	1-Month Mcap Lows Russell 2000
F1LF	1-Month Mcap Lows S&P 500 Financials
F1LG	1-Month Mcap Lows Russell 1000
F1LH	1-Month Mcap Lows Price GT $10
F1LI	1-Month Mcap Lows S&P 500 Industrials
F1LJ	1-Month Mcap Lows S&P 500 Utilities
F1LK	1-Month Mcap Lows S&P 500 Info Tech
F1LL	1-Month Mcap Lows Price Lt $10
F1LM	1-Month Mcap Lows S&P 500 Consumer Staples
F1LN	1-Month Mcap Lows NYSE
F1LO	1-Month Mcap Lows S&P 100
F1LP	1-Month Mcap Lows S&P 500
F1LQ	1-Month Mcap Lows Nasdaq
F1LR	1-Month Mcap Lows S&P 500 Real Estate
F1LS	1-Month Mcap Lows S&P 500 Health Care
F1LT	1-Month Mcap Lows S&P 500 Energies
F1LU	1-Month Mcap Lows Volume Lt 100K
F1LV	1-Month Mcap Lows Volume GT 100K
F1LW	1-Month Mcap Lows S&P 500 Telecom Srvs
F1LX	1-Month Mcap Lows Overall
F1LY	1-Month Mcap Lows S&P 500 Consumer Disc
F1LZ	1-Month Mcap Lows Russell 3000
F3DA	3-Month Mcap Hi-Lo AMEX
F3DB	3-Month Mcap Hi-Lo S&P 500 Materials
F3DC	3-Month Mcap Hi-Lo Russell 2000
F3DF	3-Month Mcap Hi-Lo S&P 500 Financials
F3DG	3-Month Mcap Hi-Lo Russell 1000
F3DH	3-Month Mcap Hi-Lo Price GT $10
F3DI	3-Month Mcap Hi-Lo S&P 500 Industrials
F3DJ	3-Month Mcap Hi-Lo S&P 500 Utilities
F3DK	3-Month Mcap Hi-Lo S&P 500 Info Tech
F3DL	3-Month Mcap Hi-Lo Price Lt $10
F3DM	3-Month Mcap Hi-Lo S&P 500 Consumer Staples
F3DN	3-Month Mcap Hi-Lo NYSE
F3DO	3-Month Mcap Hi-Lo S&P 100
F3DP	3-Month Mcap Hi-Lo S&P 500
F3DQ	3-Month Mcap Hi-Lo Nasdaq
F3DR	3-Month Mcap Hi-Lo S&P 500 Real Estate
F3DS	3-Month Mcap Hi-Lo S&P 500 Health Care
F3DT	3-Month Mcap Hi-Lo S&P 500 Energies
F3DU	3-Month Mcap Hi-Lo Volume Lt 100K
F3DV	3-Month Mcap Hi-Lo Volume GT 100K
F3DW	3-Month Mcap Hi-Lo S&P 500 Telecom Srvs
F3DX	3-Month Mcap Hi-Lo Overall
F3DY	3-Month Mcap Hi-Lo S&P 500 Consumer Disc
F3DZ	3-Month Mcap Hi-Lo Russell 3000
F3HA	3-Month Mcap Highs AMEX
F3HB	3-Month Mcap Highs S&P 500 Materials
F3HC	3-Month Mcap Highs Russell 2000
F3HF	3-Month Mcap Highs S&P 500 Financials
F3HG	3-Month Mcap Highs Russell 1000
F3HH	3-Month Mcap Highs Price GT $10
F3HI	3-Month Mcap Highs S&P 500 Industrials
F3HJ	3-Month Mcap Highs S&P 500 Utilities
F3HK	3-Month Mcap Highs S&P 500 Info Tech
F3HL	3-Month Mcap Highs Price Lt $10
F3HM	3-Month Mcap Highs S&P 500 Consumer Staples
F3HN	3-Month Mcap Highs NYSE
F3HO	3-Month Mcap Highs S&P 100
F3HP	3-Month Mcap Highs S&P 500
F3HQ	3-Month Mcap Highs Nasdaq
F3HR	3-Month Mcap Highs S&P 500 Real Estate
F3HS	3-Month Mcap Highs S&P 500 Health Care
F3HT	3-Month Mcap Highs S&P 500 Energies
F3HU	3-Month Mcap Highs Volume Lt 100K
F3HV	3-Month Mcap Highs Volume GT 100K
F3HW	3-Month Mcap Highs S&P 500 Telecom Srvs
F3HX	3-Month Mcap Highs Overall
F3HY	3-Month Mcap Highs S&P 500 Consumer Disc
F3HZ	3-Month Mcap Highs Russell 3000
F3LA	3-Month Mcap Lows AMEX
F3LB	3-Month Mcap Lows S&P 500 Materials
F3LC	3-Month Mcap Lows Russell 2000
F3LF	3-Month Mcap Lows S&P 500 Financials
F3LG	3-Month Mcap Lows Russell 1000
F3LH	3-Month Mcap Lows Price GT $10
F3LI	3-Month Mcap Lows S&P 500 Industrials
F3LJ	3-Month Mcap Lows S&P 500 Utilities
F3LK	3-Month Mcap Lows S&P 500 Info Tech
F3LL	3-Month Mcap Lows Price Lt $10
F3LM	3-Month Mcap Lows S&P 500 Consumer Staples
F3LN	3-Month Mcap Lows NYSE
F3LO	3-Month Mcap Lows S&P 100
F3LP	3-Month Mcap Lows S&P 500
F3LQ	3-Month Mcap Lows Nasdaq
F3LR	3-Month Mcap Lows S&P 500 Real Estate
F3LS	3-Month Mcap Lows S&P 500 Health Care
F3LT	3-Month Mcap Lows S&P 500 Energies
F3LU	3-Month Mcap Lows Volume Lt 100K
F3LV	3-Month Mcap Lows Volume GT 100K
F3LW	3-Month Mcap Lows S&P 500 Telecom Srvs
F3LX	3-Month Mcap Lows Overall
F3LY	3-Month Mcap Lows S&P 500 Consumer Disc
F3LZ	3-Month Mcap Lows Russell 3000
F5DA	5-Day Mcap Hi-Lo AMEX
F5DB	5-Day Mcap Hi-Lo S&P 500 Materials
F5DC	5-Day Mcap Hi-Lo Russell 2000
F5DF	5-Day Mcap Hi-Lo S&P 500 Financials
F5DG	5-Day Mcap Hi-Lo Russell 1000
F5DH	5-Day Mcap Hi-Lo Price GT $10
F5DI	5-Day Mcap Hi-Lo S&P 500 Industrials
F5DJ	5-Day Mcap Hi-Lo S&P 500 Utilities
F5DK	5-Day Mcap Hi-Lo S&P 500 Info Tech
F5DL	5-Day Mcap Hi-Lo Price Lt $10
F5DM	5-Day Mcap Hi-Lo S&P 500 Consumer Staples
F5DN	5-Day Mcap Hi-Lo NYSE
F5DO	5-Day Mcap Hi-Lo S&P 100
F5DP	5-Day Mcap Hi-Lo S&P 500
F5DQ	5-Day Mcap Hi-Lo Nasdaq
F5DR	5-Day Mcap Hi-Lo S&P 500 Real Estate
